module			 depends on?
py-keras-applications/			no
py-keras-applications/1.0.8-gcc-vome			no
py-keras-preprocessing/			no
py-keras-preprocessing/1.1.2-gcc-2esc			no
py-keras/			no
py-keras/2.2.4-gcc-atrp			no
py-kiwisolver/			no
py-kiwisolver/1.1.0-gcc-uxn6			no
py-mako/			no
py-mako/1.0.4-gcc-jahw			no
py-markupsafe/			no
py-markupsafe/1.1.1-gcc-52oq			no
py-matplotlib/			no
py-matplotlib/3.3.3-gcc-y7tg			no
py-mpi4py/			no
py-mpi4py/3.0.3-gcc-t3cq			no
py-nose/			no
py-nose/1.3.7-gcc-irfg			no
py-numexpr/			no
py-numexpr/2.7.0-gcc-7cox			no
py-numpy/			no
py-numpy/1.18.5-gcc-qrtw			no
py-numpy/1.19.4-gcc-72fm			no
py-opt-einsum/			no
py-opt-einsum/3.2.1-gcc-hhin			no
py-pandas/			no
py-pandas/1.1.4-gcc-svrr			no
py-pillow/			no
py-pillow/7.2.0-gcc-6jhv			no
py-pip/			no
py-pip/20.2-gcc-4cq2			no
py-pkgconfig/			no
py-pkgconfig/1.5.1-gcc-vsg7			no
py-protobuf/			no
py-protobuf/3.12.2-gcc-xs2a			no
py-pybind11/			no
py-pybind11/2.5.0-gcc-qyqw			no
py-pyparsing/			no
py-pyparsing/2.4.2-gcc-mray			no
py-python-dateutil/			no
py-python-dateutil/2.8.0-gcc-rqty			no
py-pytz/			no
py-pytz/2020.1-gcc-cexb			no
py-pyyaml/			no
py-pyyaml/5.3.1-gcc-jlbi			no
py-scipy/			no
py-scipy/1.5.4-gcc-pgyc			no
py-setuptools-scm/			no
py-setuptools-scm/4.1.2-gcc-5hvz			no
py-setuptools/			no
py-setuptools/50.3.2-gcc-rqut			no
py-six/			no
py-six/1.14.0-gcc-al2p			no
py-termcolor/			no
py-termcolor/1.1.0-gcc-pgyr			no
py-theano/			no
py-theano/1.0.4-gcc-slh5			no
py-typing-extensions/			no
py-typing-extensions/3.7.4-gcc-wuk2			no
py-virtualenv/			no
py-virtualenv/16.7.6-gcc-cvq6			no
